序号,产品名,当前轮次,成立日期,所属城市,产品介绍,所属企业,tag
1,芯华章,B轮,2020-03-11,南京市,芯华章是一家EDA智能工业软件级系统研发商，致力于集成电路电子自动化领域，可为半导体行业用户提供芯片设计、EDA智能软件和系统等产品。,芯华章科技股份有限公司,上海合见工业软件集团股份有限公司
2,国微思尔芯,股权融资,2004-01-19,上海市,思尔芯是一家集成电路电子设计自动化解决方案提供商，主要为用户提供自主研发的FPGA快速原型系统与软件、EDA工具以及仿真验证云系统等产品，广泛应用于人工智能、物联网、高性能计算、图形图像处理等领域。,上海思尔芯技术股份有限公司,上海合见工业软件集团股份有限公司
3,晶锐工业软件,并购,2020-05-21,深圳市,晶锐工业软件成立于2020年5月，位于深圳市，专注于芯片设计全流程EDA系统开发与应用，研究内容是面向先进工艺和国产高端芯片的需求，开发一套数字芯片设计含硬件仿真的全流程EDA系统。,深圳晶锐工业软件有限公司,上海合见工业软件集团股份有限公司
4,超概电子,C轮,2010-11-16,上海市,超概电子专注电子设计自动化EDA软件、集成无源器件IPD和系统级封装SiP微系统的研发。公司致力于为半导体芯片设计公司和系统厂商提供差异化的软件产品和芯片小型化解决方案，包括高速数字设计、IC封装设计、和射频模拟混合信号设计等。是中国集成电路自动化软件技术和微电子技术行业的标杆企业。,上海超概电子科技有限公司,上海合见工业软件集团股份有限公司
5,立芯软件,C轮,2020-11-12,上海市,立芯软件成立于2020年，自成立之初就聚焦于数字芯片的逻辑综合与布局布线全流程工具的研发。作为一家EDA工具开发商，专注于物理设计和逻辑综合等集成电路电子设计自动化EDA工具开发，助力搭建中国自主化芯片研发生态系统。,上海立芯软件科技有限公司,上海合见工业软件集团股份有限公司
6,芯思维,天使轮,2021-04-26,上海市,芯思维是一家面向集成电路芯片设计自动化EDA领域的创新型高科技公司。公司总部位于上海，以完全自主知识产权的EDA逻辑仿真以及逻辑综合工具为立足点，覆盖汽车电子等功能安全电子芯片故障仿真，消费类电子、IOT物联网芯片低功耗仿真，以及数字模拟SOC混合电路快速仿真,上海芯思维信息科技有限公司,上海合见工业软件集团股份有限公司
7,芯行纪,股权转让,2020-10-16,南京市,芯行纪成立于2020年，是一家EDA数字实现解决方案供应商，着力于自主研发新一代数字芯片实现EDA技术和提供高端数字芯片设计解决方案，可大幅度提升芯片设计效率，并助力实现芯片一次性快速量产，在人工智能、智能汽车、5G、云计算等集成电路领域为众多合作伙伴的高速发展和产业腾飞保驾护航。,芯行纪科技股份有限公司,上海合见工业软件集团股份有限公司
8,鸿芯微纳,股权转让,2018-01-12,深圳市,鸿芯微纳成立于2018年，是一家国产数字集成电路电子设计自动化软件提供商，旨在通过自主研发、技术引进、合作开发等模式，完成数字集成电路EDA平台关键节点的技术部署，打造完整的全流程集成电路设计国产数字EDA平台，实现国有半导体产业链在这一关键环节的技术突破，可为用户提供微电子电路芯片设计、电子设计自动化软件等服务。,深圳鸿芯微纳技术有限公司,上海合见工业软件集团股份有限公司
9,广立微,IPO,2003-08-12,杭州市,广立微是一家EDA软件开发及解决方案提供商，通过自主研发版图生成自动化软件、智能测试机Semitronix Tester、智能数据分析软件DataExp和VirtualYield等产品，为半导体制造和设计业提供智能化测试芯片系统及一站式技术服务系统。,杭州广立微电子股份有限公司,上海合见工业软件集团股份有限公司
10,九霄智能,Pre-A轮,2021-11-01,衢州市,九霄智能是一家专注于数字EDA工具研发和先进研发流程推广的软件企业，致力于持续完善和提升国产数字EDA工具软件，为芯片设计企业提供完整的EDA工具软件平台，并以此为依托，构建完整高效的芯片研发流程。,浙江九霄智能科技有限公司,上海合见工业软件集团股份有限公司
